"","CBSAFP","metro_area","CSAFP"
"220",19580,"ohio nonmetropolitan area",NA
"221",19620,"texas nonmetropolitan area",NA
"222",19660,"orlando metropolitan area",422
"223",19700,"new mexico nonmetropolitan area",NA
"224",19740,"denver metropolitan area",216
"225",19760,"louisiana nonmetropolitan area",217
"226",19780,"des moines metropolitan area",218
"227",19820,"detroit metropolitan area",220
"228",19860,"north dakota nonmetropolitan area",NA
"229",19940,"illinois nonmetropolitan area",221
"230",19980,"kansas nonmetropolitan area",NA
"231",20020,"alabama nonmetropolitan area",222
"232",20060,"georgia nonmetropolitan area (united states)",NA
"233",20100,"philadelphia metropolitan area",428
"234",20140,"georgia nonmetropolitan area (united states)",NA
"235",20180,"pennsylvania nonmetropolitan area",524
"236",20220,"iowa nonmetropolitan area",NA
"237",20260,"minnesota nonmetropolitan area",NA
"238",20300,"texas nonmetropolitan area",NA
"239",20340,"oklahoma nonmetropolitan area",NA
"240",20420,"colorado nonmetropolitan area",NA
"241",20460,"dallas metropolitan area",206
"242",20500,"raleigh metropolitan area",450
"243",20540,"tennessee nonmetropolitan area",NA
"244",20580,"texas nonmetropolitan area",NA
"245",20660,"baltimore metropolitan area",548
"246",20700,"new york city metropolitan area",408
"247",20740,"wisconsin nonmetropolitan area",232
"248",20780,"colorado nonmetropolitan area",233
"249",20820,"illinois nonmetropolitan area",NA
"250",20900,"houston metropolitan area",288
"251",20940,"california nonmetropolitan area",NA
"252",20980,"arkansas nonmetropolitan area",NA
"253",21020,"virginia beach metropolitan area",545
"254",21060,"louisville metropolitan area",350
"255",21120,"oklahoma nonmetropolitan area",NA
"256",21140,"indiana nonmetropolitan area",515
"257",21180,"west virginia nonmetropolitan area",NA
"258",21220,"nevada nonmetropolitan area",NA
"259",21260,"washington nonmetropolitan area",NA
"260",21300,"new york nonmetropolitan area",236
"261",21340,"el paso metropolitan area",238
"262",21380,"kansas nonmetropolitan area",NA
"263",21420,"oklahoma nonmetropolitan area",NA
